word,dim1,dim2,dim3,dim4,dim5
0,0.058737146723656514,-0.07920067367547177,0.16018269929921697,0.4089891772533164,0.052886439263989615
1538,0.07777112457537617,-0.10051468991640128,0.19807770098772812,0.6749221100171966,0.08101273844252771
1859,0.08251523151761353,-0.11597200189949702,0.24905713160025578,0.5620902891753938,0.0812079011490184
1442,0.10226535117769317,-0.1347140865409417,0.25395155224026983,0.5909802063575456,0.06892470490043452
1799,0.08242377981286092,-0.11593021195298459,0.24934770275675858,0.5619055939034323,0.08134564089004259
1481,0.08243138141753587,-0.11588438424780204,0.2490119863480007,0.5617308442250454,0.08123566986712126
1748,0.08247241474433385,-0.11598503777280557,0.24938806885100512,0.5619080893132583,0.08133178395593837
310,0.0823748743098135,-0.11592245474352823,0.24936007207577893,0.5619925934968344,0.08148984959314783
2,-0.3514985355257602,0.19415520754314086,-0.023164387787179174,-0.3423975553741534,-0.16337344751191424
1674,-0.35936254984142024,0.20033724733771,-0.02663227277246153,-0.3501542471957595,-0.16816948204025264
3,-0.5257921194175001,-0.211942042482204,0.13650357196222326,0.1002074006702617,-0.2457019910660582
529,-0.5640903219541967,-0.225720775255235,0.14743314505119812,0.10426275123708145,-0.26313597923774246
660,-0.5605075751701614,-0.2243585334870443,0.14629476688732948,0.10387133917996112,-0.2616579206951108
669,-0.5665086382689372,-0.2264839485911139,0.14793650888537246,0.10457518118069412,-0.2644087759501794
527,-0.5714436940623904,-0.2293370899810578,0.1486821841213393,0.10768577798632104,-0.26628961175399585
4,-0.09217208550001788,0.3177498087241102,-0.4444895983677074,0.1380027862113886,0.027566758243005317
592,-0.09509272296856904,0.326868498422461,-0.4575627882880463,0.14220226599844785,0.027935705682060292
5,-0.19732653945992687,0.435213835678222,-0.15545022031573247,-0.2823467490736376,-0.0913187234019151
833,-0.22532543053441376,0.49933197983763333,-0.17862054669002692,-0.32445016434887003,-0.10580320948961695
1602,-0.22468394923617765,0.49623251017284314,-0.17737284183478705,-0.32212194386375964,-0.10446857029699633
734,-0.224944073220063,0.49692771402358676,-0.17739085205997368,-0.32242060624809216,-0.1045115374406451
1655,-0.23181857962586014,0.5160165859237953,-0.18146546950601747,-0.33043654868879585,-0.0999677392888542
7,-0.29666058454115124,-0.2767347399254527,-0.3079853449351907,-0.29934053195963684,-0.19619704066967641
1282,-0.3091447396984472,-0.28861662693847867,-0.3210635158452525,-0.31257751323042693,-0.2061180657965723
1410,-0.31647553758262487,-0.2953145540431494,-0.3289838828008796,-0.32015772266404985,-0.21258446731476427
1667,-0.3099522093491895,-0.2892045122952575,-0.32187653781937337,-0.3130671664867054,-0.20584897990635784
132,-0.309935679563852,-0.2893061974333738,-0.3220231897143946,-0.3135194079649224,-0.20748538395111307
902,-0.30962256770415797,-0.2890606575267279,-0.3215489635413274,-0.3130927131605754,-0.2064865761568171
1415,-0.3097759469316253,-0.28916270478823913,-0.3217520104429081,-0.31318968459945573,-0.20670597375871044
136,-0.30967297122278586,-0.28914515117361445,-0.32157699941500206,-0.3131095919429495,-0.20654458615323154
1528,-0.3090705400032075,-0.2885919785818569,-0.3209355373607493,-0.31254885284893774,-0.20603201154946324
264,-0.309260625216685,-0.2887727463987667,-0.321121979248581,-0.3127486312046726,-0.20607922676178847
1675,-0.309603481420096,-0.2890532663622457,-0.32154227029997334,-0.31307376416951505,-0.20651817148974547
908,-0.310102614824082,-0.2895126925806423,-0.3220551348427579,-0.3135907414738965,-0.20683805100828795
398,-0.30943406238564836,-0.28888922482605944,-0.32134190224491227,-0.3128831393887892,-0.20630968427412033
1550,-0.30913528920011496,-0.28861741866619367,-0.32104356944889895,-0.312627480144145,-0.20615565710547776
1169,-0.3091601940056265,-0.28869474844472365,-0.32101363192222665,-0.31265958494440393,-0.20602992209643428
1939,-0.309268818416985,-0.28877963838048676,-0.3211113700875909,-0.3127197405610534,-0.20598712595498708
1172,-0.30876199830792184,-0.28828187990187654,-0.32063759133167535,-0.3122255930587427,-0.20587878667506376
1173,-0.3095948326012025,-0.28909654592654777,-0.32148604957726623,-0.3130535383263547,-0.20652672927605464
282,-0.31836117219478477,-0.2968671828945021,-0.3310670882587396,-0.3217650947063475,-0.21394904282858432
797,-0.30961589580966786,-0.2890459863376763,-0.3215599706509117,-0.3130709359447504,-0.20656496391775236
31,-0.30943350408719156,-0.2888940029153445,-0.3213350897812654,-0.3128790634853007,-0.2062801954781187
1839,-0.3102271066028306,-0.2895607864577647,-0.3222422106731666,-0.3137083330803272,-0.2070613638881406
1072,-0.3095506137978677,-0.2888984735249778,-0.32153654123349495,-0.312882937543308,-0.20648669575414658
702,-0.30931563862451317,-0.28879769850851894,-0.3211964242466116,-0.31281633491694916,-0.20608801488311654
1472,-0.30993033012320076,-0.28930885994416367,-0.3218914659693234,-0.31336914619079587,-0.20667032615083894
836,-0.30904343438731674,-0.2885625673278931,-0.32091884287751593,-0.31253701115817073,-0.20606356265484443
967,-0.30880256363054726,-0.28831036768594226,-0.3206803342608288,-0.3123011993425927,-0.20581498396144854
1223,-0.3094754231478638,-0.28893417319454695,-0.3214003883709227,-0.31295003499015894,-0.20638480089859348
1359,-0.30963674676683406,-0.2890350916559379,-0.3217027795035614,-0.3132352653063237,-0.20725673110788842
593,-0.31015510339143326,-0.2895074488564521,-0.32216563263117853,-0.3135719160550433,-0.20708375123721404
1875,-0.3094162173382424,-0.28887944437363144,-0.3213303679134396,-0.312873756812778,-0.20632408932600582
212,-0.30969898079946706,-0.28908265176390674,-0.3216812017327681,-0.3131676167277224,-0.2065316750235597
469,-0.30955075875714083,-0.2890682842997889,-0.32142544573520937,-0.3130379231268709,-0.20642073445044423
1494,-0.309806041822971,-0.28925577530631624,-0.32171937471718765,-0.3133045479796036,-0.2065439247283164
983,-0.3093376930337291,-0.2888286701233373,-0.32123922144084566,-0.3127794471110654,-0.20636497746589466
1876,-0.3094211275670389,-0.2888696587826089,-0.3214417864413098,-0.31304104069043237,-0.2070003950875353
738,-0.3093133168598213,-0.2888200321308676,-0.3212886510615964,-0.3129857268719142,-0.20683990957362727
355,-0.3099344090837984,-0.2893386551163509,-0.3218961602241383,-0.3133636006162888,-0.2068478329567283
612,-0.3096429181074029,-0.28902759724178917,-0.3216353590973143,-0.3131405809016608,-0.20663134825563131
98,-0.30941816676341655,-0.28890672477382895,-0.3213274887650837,-0.3128894055956777,-0.20640083812171264
492,-0.3098256339658264,-0.2892450987444721,-0.3218759637173754,-0.3134026943766748,-0.20737687513749165
1392,-0.30935829777294555,-0.2888194708088265,-0.3212658260235309,-0.3128385493250353,-0.20619154268055073
881,-0.3095233116831426,-0.2888289178283586,-0.321510929698397,-0.31278428478733006,-0.20625750175583865
1266,-0.30881451334991755,-0.2883461866867605,-0.32068217184793346,-0.31229255443470405,-0.2058932293724
885,-0.3092478659001043,-0.2886943506995331,-0.32116175425418375,-0.3126756176204959,-0.2062101792740355
1784,-0.30969377000477494,-0.2892088013876776,-0.32165287103161383,-0.313317904729996,-0.20713265552469542
510,-0.30976259425054026,-0.2891969203030329,-0.32172123592439716,-0.31330247407537837,-0.2067124116283252
1791,-0.30920638010755347,-0.28862658361596516,-0.3211743417464388,-0.3127032300634372,-0.20636342788163084
9,0.06815208389659336,0.060936852208700196,-0.287763013184279,0.49538288581059414,0.04102908915290062
980,0.07068885071529377,0.06370831909635838,-0.29893192507861666,0.5135807331285409,0.04311841758601518
10,-0.5221895368332101,-0.11417223659211845,0.12805915854709854,0.005557332708684108,0.036531343780727164
606,-0.5825189762862496,-0.1288529106638557,0.14099904926247736,0.000944796902375475,0.03682536102046324
16,-0.2524907502003321,0.2679437099326722,-0.3468677314282293,0.33288615657455245,-0.2690447222035295
454,-0.29634006035530336,0.3164107585420652,-0.40841953684789,0.3939067874687371,-0.32142428263421313
266,-0.2802917551892715,0.2986546513797267,-0.3822214701469477,0.36979944229172546,-0.2982468758113142
108,-0.26301775717023546,0.2799670986403944,-0.360973567729247,0.3472928709624131,-0.28174967619336777
1613,-0.263599004300539,0.28061796352498064,-0.3618152600045076,0.34839152778920923,-0.2826648703855911
